# Data from Poolakkil, 2020, Table
#Name           E_iso           E_p             z
#               (erg, COMP)    (keV,rest)
GRB 170817      3.32e+46        2.17e+02         0.009783
GRB 160821      2.27e+49        4.43e+01         0.16
GRB 160624      8.83e+50        1.73e+03         0.483
GRB 150301      3.77e+52        4.61e+02         1.5169
GRB 150101      8.02e+48        3.24e+01         0.134
GRB 140606      6.76e+51        7.37e+02         0.384
GRB 120811      7.57e+52        2.03e+02         2.671
GRB 111117      5.35e+51        1.16e+03         2.211
GRB 101219      3.90e+51        9.00e+01         0.718
GRB 100816      1.97e+53        7.09e+02         0.8049
GRB 100625      8.93e+51        9.00e+01         0.452
GRB 100206      9.35e+52        2.41e+02         0.4068
GRB 100117      1.16e+51        6.28e+02         0.92
GRB 090510      4.65e+52        8.07e+03         0.903
GRB 080905A     3.84e+49        3.56e+02         0.1218
GRB 080905B     4.03e+52        6.15e+02         2.374